TAX DEDUCTIONS TRACKER, , , , , , , , , , , ,
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
Track all tax-deductible expenses for easy tax filing. Data auto-pulls from Expense Tracker., , , , , , , , , , , ,
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
DEDUCTIBLE EXPENSES (Auto-populated from Expense Tracker), , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
Date, Vendor, Description, Category, Amount, Receipt?, Tax Form Reference, Notes, , , , ,
, , , , , , , , , , , ,
1/5/2025, Adobe, Creative Cloud, Software, $54.99, Yes, Schedule C - Line 18, Monthly subscription, , , , ,
1/10/2025, Office Depot, Office supplies, Office Supplies, $125.50, Yes, Schedule C - Line 18, Paper, pens, , , , ,
1/15/2025, Google, Workspace subscription, Software, $12.00, Yes, Schedule C - Line 18, Email hosting, , , , ,
1/20/2025, Shell, Gas for business, Travel, $45.00, Yes, Schedule C - Line 24a, Client meeting, , , , ,
1/25/2025, Starbucks, Client meeting, Meals, $32.50, Yes, Schedule C - Line 24b, 50% deductible, , , , ,
2/1/2025, Amazon, Standing desk, Equipment, $299.99, Yes, Form 4562, Depreciable asset, , , , ,
2/5/2025, Fiverr, Freelance help, Contractors, $150.00, Yes, Form 1099-NEC, Requires 1099, , , , ,
, , , , , , , , , , , ,
, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
DEDUCTIONS BY CATEGORY, , , , , , , , , , , ,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
, , , , , , , , , , , ,
Category, Total Amount, Tax Form Line, % of Total Deductions, , , , , , , , ,
, , , , , , , , , , , ,
Advertising & Marketing, [SUMIF], Schedule C - Line 8, [%], , , , , , , , ,
Car & Truck Expenses, [SUMIF], Schedule C - Line 9, [%], , , , , , , , ,
Commissions & Fees, [SUMIF], Schedule C - Line 10, [%], , , , , , , , ,
Contract Labor, [SUMIF], Schedule C - Line 11, [%], , , , , , , , ,
Depletion, [SUMIF], Schedule C - Line 12, [%], , , , , , , , ,
Depreciation, [SUMIF], Form 4562, [%], , , , , , , , ,
Employee Benefits, [SUMIF], Schedule C - Line 14, [%], , , , , , , , ,
Insurance, [SUMIF], Schedule C - Line 15, [%], , , , , , , , ,
Interest, [SUMIF], Schedule C - Line 16, [%], , , , , , , , ,
Legal & Professional, [SUMIF], Schedule C - Line 17, [%], , , , , , , , ,
Office Expense, [SUMIF], Schedule C - Line 18, [%], , , , , , , , ,
Rent/Lease, [SUMIF], Schedule C - Line 20, [%], , , , , , , , ,
